report_date,load_time,load_type,load_weight,dropoff_site
2021-07-08,2021-07-08 12:00:00 UTC,TIRES,2260,MRF
2021-07-08,2021-07-08 11:00:00 UTC,TIRES,1260,MRF
2021-07-08,2021-07-08 03:00:00 UTC,TIRES,800,MRF
2021-05-01,2021-05-01 12:29:00 UTC,TIRES,760,MRF
2021-07-03,2021-07-03 12:09:00 UTC,TIRES,1400,MRF
2021-02-27,2021-02-27 12:43:00 UTC,TIRES,320,MRF
2021-02-27,2021-02-27 11:53:00 UTC,TIRES,740,MRF
2021-02-27,2021-02-27 06:59:00 UTC,TIRES,1720,MRF
2021-05-08,2021-05-08 09:05:00 UTC,TIRES,4360,MRF
2021-05-08,2021-05-08 02:31:00 UTC,TIRES,1740,MRF
2021-04-18,2021-04-18 07:21:00 UTC,TIRES,2420,MRF
2021-04-17,2021-04-17 09:37:00 UTC,TIRES,1060,MRF
2021-03-20,2021-03-20 12:12:00 UTC,TIRES,3020,MRF
2021-07-08,2021-07-09 12:00:00 UTC,TIRES,560,MRF
2021-03-20,2021-03-20 08:35:00 UTC,TIRES,520,MRF
2021-05-01,2021-05-01 10:30:00 UTC,RECYCLING - SINGLE STREAM,700,TDS - MRF
2021-06-12,2021-06-12 10:58:00 UTC,RECYCLING - SINGLE STREAM,720,TDS - MRF
2021-03-06,2021-03-06 09:42:00 UTC,RECYCLING - SINGLE STREAM,300,TDS - MRF
2021-07-08,2021-07-08 10:20:00 UTC,SWEEPING,,ONION CREEK
2021-07-08,2021-07-08 01:15:00 UTC,SWEEPING,,ONION CREEK
2021-07-08,2021-07-08 12:40:00 UTC,SWEEPING,,ONION CREEK
2021-07-08,2021-07-08 01:05:00 UTC,SWEEPING,,ONION CREEK
2021-07-08,2021-07-08 12:30:00 UTC,SWEEPING,,ONION CREEK
2021-03-13,2021-03-13 09:30:00 UTC,SWEEPING,,ONION CREEK
2021-02-27,2021-02-27 12:00:00 UTC,SWEEPING,,ONION CREEK
2021-03-13,2021-03-13 12:00:00 UTC,SWEEPING,,ONION CREEK
